height_diff,weight_diff,reach_diff,winner
-5.08,0,2.54,0
7.62,-13.16,12.7,1
2.54,0,-2.54,1
5.08,0,7.62,1
0,0,-5.08,0
7.62,0,17.78,1
0,0,-5.08,0
-10.16,0,-5.08,0
-7.62,0,-12.7,1
-2.54,0,0,0
0,0,5.08,0
-5.08,-11.79,0,0
-2.54,6.81,-7.62,0
-5.08,0,-7.62,1
-10.16,0,-15.24,0
2.54,0,12.7,1
-7.62,0,-2.54,0
-15.24,0,-2.54,0
0,0,-12.7,1
-2.54,0,7.62,0
0,0,25.4,1
-5.08,0,-2.54,1
2.54,0,7.62,0
7.62,0,5.08,1
-5.08,0,-2.54,1
0,0,5.08,0
-2.54,0,-5.08,0
-2.54,0,0,1
2.54,27.21,2.54,1
10.16,0,7.62,0
5.08,0,0,1
-5.08,0,-17.78,0
-2.54,0,-7.62,0
2.54,0,-2.54,1
7.62,0,12.7,1
5.08,0,7.62,0
-2.54,0,-5.08,1
-5.08,-10.43,0,1
-2.54,0,-5.08,1
-2.54,0,-12.7,0
2.54,0,2.54,1
0,0,5.08,0
-2.54,0,-12.7,1
7.62,0,10.16,1
-2.54,0,-2.54,1
2.54,0,5.08,1
-7.62,0,2.54,1
-7.62,0,0,0
-5.08,0,5.08,0
7.62,0,5.08,0
7.62,0,20.32,1
-5.08,0,0,1
0,0,5.08,1
2.54,0,7.62,0
-5.08,0,-22.86,1
2.54,0,2.54,1
-7.62,0,-7.62,0
0,0,-10.16,1
2.54,0,0,0
0,0,2.54,0
-2.54,0,5.08,0
-2.54,0,2.54,1
-10.16,0,2.54,0
5.08,0,10.16,1
0,0,5.08,1
-5.08,5.9,0,1
2.54,0,-2.54,1
-2.54,0,-15.24,1
-5.08,0,-17.78,0
10.16,0,-5.08,1
7.62,0,10.16,0
-2.54,0,5.08,1
-10.16,0,-7.62,1
-7.62,0,0,0
-5.08,0,-2.54,0
2.54,0,5.08,1
-7.62,0,5.08,1
-2.54,0,-10.16,0
2.54,0,5.08,1
-12.7,0,-10.16,1
-7.62,0,2.54,0
5.08,0,5.08,1
-2.54,0,0,0
-5.08,-4.54,-7.62,0
-2.54,0,2.54,0
7.62,0,5.08,1
10.16,0,20.32,1
0,0,7.62,0
15.24,0,7.62,0
-7.62,0,-15.24,1
-5.08,0,0,0
10.16,0,15.24,1
5.08,0,12.7,1
-2.54,0,7.62,1
-2.54,0,2.54,0
-5.08,26.76,-7.62,0
2.54,0,2.54,1
5.08,0,17.78,1
-7.62,0,2.54,1
2.54,0,-5.08,0
0,0,-15.24,0
-12.7,0,-22.86,0
7.62,0,5.08,0
0,0,-10.16,1
-5.08,6.8,-5.08,0
0,0,7.62,1
0,0,7.62,0
-7.62,0,-17.78,1
-7.62,0,0,0
5.08,0,12.7,0
-2.54,-9.07,-2.54,0
5.08,0,10.16,0
2.54,0,0,1
5.08,0,-5.08,1
15.24,0,10.16,0
-15.24,0,-7.62,1
-5.08,0,-10.16,1
7.62,0,5.08,1
-10.16,0,-2.54,1
2.54,0,5.08,1
2.54,0,7.62,0
-10.16,0,0,1
-7.62,0,0,1
10.16,0,2.54,1
5.08,0,-2.54,1
0,0,5.08,0
0,0,7.62,1
0,0,7.62,1
0,0,-2.54,0
-2.54,0,0,1
7.62,0,0,0
-5.08,0,-5.08,1
-2.54,0,-15.24,1
-7.62,0,-12.7,0
-5.08,0,-10.16,0
2.54,0,0,1
5.08,0,10.16,1
0,0,-2.54,1
-2.54,0,7.62,1
2.54,0,10.16,0
7.62,0,0,0
12.7,0,15.24,1
7.62,0,7.62,0
2.54,0,2.54,1
-2.54,0,2.54,0
-2.54,0,-7.62,0
-2.54,0,-7.62,1
10.16,0,12.7,0
0,9.08,5.08,1
0,0,-12.7,0
-7.62,0,-5.08,1
-2.54,0,-2.54,1
2.54,0,15.24,1
10.16,0,7.62,1
2.54,0,-10.16,1
-2.54,-4.54,-10.16,0
7.62,6.8,-7.62,0
10.16,0,-2.54,0
-15.24,4.53,-17.78,0
2.54,0,5.08,1
0,6.8,2.54,1
-7.62,0,-10.16,1
7.62,0,2.54,0
2.54,0,2.54,0
-2.54,0,2.54,0
-5.08,0.45,15.24,0
-7.62,0,-2.54,1
-5.08,0,-5.08,0
7.62,0,5.08,1
10.16,0,2.54,1
-2.54,0,0,0
-17.78,0,-17.78,1
2.54,0,-10.16,1
-7.62,0,-5.08,1
0,0,-7.62,1
-2.54,0,-10.16,0
0,-24.94,0,1
5.08,0,-5.08,0
-10.16,-6.35,-2.54,1
-10.16,0,-7.62,1
-5.08,0,-2.54,1
-2.54,0,-2.54,1
2.54,0,2.54,1
15.24,0,12.7,1
-2.54,0,0,0
10.16,4.54,-2.54,1
-5.08,-6.8,2.54,0
2.54,0,10.16,1
2.54,0,5.08,1
0,0,-10.16,0
0,-4.54,7.62,0
-12.7,0,-7.62,0
-5.08,0,2.54,1
-7.62,0,-2.54,0
5.08,4.54,5.08,1
5.08,0,-2.54,1
-5.08,0,-10.16,0
0,0,-10.16,0
2.54,0,0,1
-2.54,0,0,0
-2.54,4.54,10.16,1
2.54,0,-2.54,1
5.08,0,5.08,1
2.54,4.54,7.62,1
2.54,0,-2.54,0
10.16,0,2.54,1
12.7,0,15.24,0
0,0,2.54,0
10.16,0,5.08,1
2.54,0,-10.16,0
